"Label (Grouping)","United States!!Sudanese!!Estimate","United States!!Sudanese!!Margin of Error","Arizona!!Sudanese!!Estimate","Arizona!!Sudanese!!Margin of Error","California!!Sudanese!!Estimate","California!!Sudanese!!Margin of Error","Colorado!!Sudanese!!Estimate","Colorado!!Sudanese!!Margin of Error","Florida!!Sudanese!!Estimate","Florida!!Sudanese!!Margin of Error","Georgia!!Sudanese!!Estimate","Georgia!!Sudanese!!Margin of Error","Illinois!!Sudanese!!Estimate","Illinois!!Sudanese!!Margin of Error","Iowa!!Sudanese!!Estimate","Iowa!!Sudanese!!Margin of Error","Maryland!!Sudanese!!Estimate","Maryland!!Sudanese!!Margin of Error","Michigan!!Sudanese!!Estimate","Michigan!!Sudanese!!Margin of Error","Minnesota!!Sudanese!!Estimate","Minnesota!!Sudanese!!Margin of Error","Nebraska!!Sudanese!!Estimate","Nebraska!!Sudanese!!Margin of Error","New Jersey!!Sudanese!!Estimate","New Jersey!!Sudanese!!Margin of Error","New York!!Sudanese!!Estimate","New York!!Sudanese!!Margin of Error","North Carolina!!Sudanese!!Estimate","North Carolina!!Sudanese!!Margin of Error","Ohio!!Sudanese!!Estimate","Ohio!!Sudanese!!Margin of Error","Tennessee!!Sudanese!!Estimate","Tennessee!!Sudanese!!Margin of Error","Texas!!Sudanese!!Estimate","Texas!!Sudanese!!Margin of Error","Utah!!Sudanese!!Estimate","Utah!!Sudanese!!Margin of Error","Virginia!!Sudanese!!Estimate","Virginia!!Sudanese!!Margin of Error","Washington!!Sudanese!!Estimate","Washington!!Sudanese!!Margin of Error"
"Total:","44,195","±3,083","1,563","±673","2,572","±1,038","1,199","±401","1,047","±470","1,779","±717","1,608","±861","4,861","±864","1,330","±509","1,607","±885","2,030","±587","2,971","±624","537","±259","2,461","±979","2,137","±780","653","±305","1,354","±497","4,048","±926","993","±407","2,716","±792","1,113","±467"
"    Europe:","328","±149","13","±21","30","±48","0","±30","0","±34","66","±94","7","±10","28","±29","29","±37","6","±9","41","±61","22","±46","13","±21","19","±22","12","±23","0","±29","0","±31","0","±34","0","±29","14","±23","0","±30"
"        Northern Europe:","172","±104","13","±21","30","±48","0","±30","0","±34","0","±34","7","±10","28","±29","21","±35","6","±9","41","±61","0","±23","0","±31","0","±30","12","±23","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            Denmark","0","±30","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            Ireland","0","±30","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            Norway","0","±30","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            Sweden","7","±10","0","±31","0","±31","0","±30","0","±34","0","±34","7","±10","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            United Kingdom (inc. Crown Dependencies):","165","±103","13","±21","30","±48","0","±30","0","±34","0","±34","0","±28","28","±29","21","±35","6","±9","41","±61","0","±23","0","±31","0","±30","12","±23","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"                United Kingdom, excluding England and Scotland","147","±102","13","±21","30","±48","0","±30","0","±34","0","±34","0","±28","28","±29","21","±35","0","±26","41","±61","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"                England","18","±24","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","6","±9","0","±22","0","±23","0","±31","0","±30","12","±23","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"                Scotland","0","±30","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
"            Other Northern Europe","0","±30","0","±31","0","±31","0","±30","0","±34","0","±34","0","±28","0","±24","0","±31","0","±26","0","±22","0","±23","0","±31","0","±30","0","±31","0","±29","0","±31","0","±34","0","±29","0","±31","0","±30"
