"Label (Grouping)","United States!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","45,269,644","","","915,934","","10,451,777","570,273","549,441","","","4,608,601","1,082,965","","","1,804,562","379,407","","","182,011","","","979,051","1,227,488","683,293","487,445","","251,238","","","579,692","","2,134,981","","4,427,154","869,786","","584,667","230,620","412,396","938,636","","271,280","","370,765","5,092,132","278,336","","1,070,347","1,143,311","","300,760","",""
"    Europe:","4,865,317","","","83,048","","665,905","82,079","122,494","","","453,894","99,925","","","372,503","39,977","","","25,629","","","85,425","226,561","119,604","44,128","","43,524","","","40,070","","288,329","","701,572","92,724","","104,040","16,583","61,693","161,497","","46,600","","36,184","227,599","30,549","","100,831","172,219","","45,287","",""
"        Northern Europe:","932,074","","","22,003","","161,932","20,725","19,065","","","100,637","22,801","","","28,891","7,885","","","4,067","","","17,457","40,529","16,246","8,072","","7,174","","","9,636","","39,570","","96,253","24,781","","17,181","3,989","13,057","26,566","","10,432","","9,799","69,372","7,935","","23,329","33,155","","6,764","",""
"            Denmark","23,486","","","435","","5,815","671","652","","","1,121","658","","","576","0","","","66","","","553","776","75","272","","140","","","1,008","","1,031","","1,682","357","","111","132","603","489","","66","","428","883","1,202","","561","1,687","","195","",""
"            Ireland","118,539","","","2,170","","15,416","2,913","3,852","","","8,706","688","","","7,553","1,070","","","701","","","1,096","12,721","1,865","1,084","","441","","","847","","8,435","","23,815","1,949","","2,338","281","745","3,949","","809","","785","3,802","231","","1,922","2,296","","446","",""
"            Norway","20,350","","","294","","3,524","634","544","","","2,608","953","","","553","99","","","128","","","165","373","182","248","","156","","","317","","416","","1,699","97","","187","131","364","541","","329","","0","1,390","309","","648","1,353","","290","",""
"            Sweden","45,388","","","706","","11,015","584","1,056","","","6,216","225","","","1,532","260","","","42","","","811","2,109","512","608","","350","","","281","","1,059","","4,406","1,086","","505","96","597","1,191","","457","","449","2,432","579","","1,274","2,453","","587","",""
"            United Kingdom (inc. Crown Dependencies):","701,102","","","18,113","","121,581","14,536","12,666","","","79,271","19,782","","","18,366","5,927","","","2,875","","","14,340","23,562","13,130","5,108","","6,015","","","6,945","","27,926","","63,221","20,719","","13,870","3,257","10,604","20,073","","8,614","","7,863","59,285","5,488","","18,722","23,857","","5,077","",""
"                United Kingdom, excluding England and Scotland","307,460","","","6,386","","58,386","6,254","5,053","","","29,527","9,199","","","8,201","2,257","","","1,020","","","7,333","12,658","4,714","2,299","","2,531","","","3,185","","13,834","","32,087","9,069","","4,216","772","4,165","8,807","","2,108","","2,949","23,705","2,812","","8,336","11,412","","2,072","",""
"                England","335,156","","","10,002","","54,270","7,509","5,997","","","43,439","9,719","","","8,563","3,198","","","1,506","","","6,264","9,534","7,061","2,520","","2,673","","","3,102","","12,177","","27,521","10,211","","8,426","2,220","5,381","9,371","","5,357","","4,530","27,103","2,230","","8,466","9,896","","2,684","",""
"                Scotland","58,486","","","1,725","","8,925","773","1,616","","","6,305","864","","","1,602","472","","","349","","","743","1,370","1,355","289","","811","","","658","","1,915","","3,613","1,439","","1,228","265","1,058","1,895","","1,149","","384","8,477","446","","1,920","2,549","","321","",""
"            Other Northern Europe","23,209","","","285","","4,581","1,387","295","","","2,715","495","","","311","529","","","255","","","492","988","482","752","","72","","","238","","703","","1,430","573","","170","92","144","323","","157","","274","1,580","126","","202","1,509","","169","",""
"        Western Europe:","921,719","","","21,260","","148,163","21,314","12,170","","","97,388","30,874","","","34,279","8,936","","","6,792","","","22,336","24,829","21,613","11,032","","9,504","","","10,272","","29,275","","79,564","20,157","","18,756","6,411","14,190","25,862","","13,650","","11,977","66,705","7,779","","30,110","27,808","","11,278","",""
